column,group
ss_H_frac,ss
ss_E_frac,ss
ss_L_frac,ss
geom_radius_of_gyration,geom
geom_mean_bfactor,geom
geom_n_residues,geom
geom_mean_sasa,geom
geom_total_sasa,geom
aass_A_H,aa_ss
aass_A_E,aa_ss
aass_A_L,aa_ss
aass_C_H,aa_ss
aass_C_E,aa_ss
aass_C_L,aa_ss
aass_D_H,aa_ss
aass_D_E,aa_ss
aass_D_L,aa_ss
aass_E_H,aa_ss
aass_E_E,aa_ss
aass_E_L,aa_ss
aass_F_H,aa_ss
aass_F_E,aa_ss
aass_F_L,aa_ss
aass_G_H,aa_ss
aass_G_E,aa_ss
aass_G_L,aa_ss
aass_H_H,aa_ss
aass_H_E,aa_ss
aass_H_L,aa_ss
aass_I_H,aa_ss
aass_I_E,aa_ss
aass_I_L,aa_ss
aass_K_H,aa_ss
aass_K_E,aa_ss
aass_K_L,aa_ss
aass_L_H,aa_ss
aass_L_E,aa_ss
aass_L_L,aa_ss
aass_M_H,aa_ss
aass_M_E,aa_ss
aass_M_L,aa_ss
aass_N_H,aa_ss
aass_N_E,aa_ss
aass_N_L,aa_ss
aass_P_H,aa_ss
aass_P_E,aa_ss
aass_P_L,aa_ss
aass_Q_H,aa_ss
aass_Q_E,aa_ss
aass_Q_L,aa_ss
aass_R_H,aa_ss
aass_R_E,aa_ss
aass_R_L,aa_ss
aass_S_H,aa_ss
aass_S_E,aa_ss
aass_S_L,aa_ss
aass_T_H,aa_ss
aass_T_E,aa_ss
aass_T_L,aa_ss
aass_V_H,aa_ss
aass_V_E,aa_ss
aass_V_L,aa_ss
aass_W_H,aa_ss
aass_W_E,aa_ss
aass_W_L,aa_ss
aass_Y_H,aa_ss
aass_Y_E,aa_ss
aass_Y_L,aa_ss
contact_density,contact
contact_lr_per_res,contact
contact_mean_dist,contact
contact_median_dist,contact
contact_short_frac,contact
contact_medium_frac,contact
contact_long_frac,contact
contact_mean_seq_sep,contact
contact_max_seq_sep_per_n,contact
contact_cys_pairs_per_res,contact
contact_clustering,contact
contact_radius_per_n,contact
aa_A_frac,aa
aa_C_frac,aa
aa_D_frac,aa
aa_E_frac,aa
aa_F_frac,aa
aa_G_frac,aa
aa_H_frac,aa
aa_I_frac,aa
aa_K_frac,aa
aa_L_frac,aa
aa_M_frac,aa
aa_N_frac,aa
aa_P_frac,aa
aa_Q_frac,aa
aa_R_frac,aa
aa_S_frac,aa
aa_T_frac,aa
aa_V_frac,aa
aa_W_frac,aa
aa_Y_frac,aa
