column,group
pk1_score,pocket_num
pk1_druggability_score,pocket_num
pk1_number_of_alpha_spheres,pocket_num
pk1_total_sasa,pocket_num
pk1_polar_sasa,pocket_num
pk1_apolar_sasa,pocket_num
pk1_volume,pocket_num
pk1_mean_local_hydrophobic_density,pocket_num
pk1_mean_alpha_sphere_radius,pocket_num
pk1_mean_alp_sph_solvent_access,pocket_num
pk1_apolar_alpha_sphere_proportion,pocket_num
pk1_hydrophobicity_score,pocket_num
pk1_volume_score,pocket_num
pk1_polarity_score,pocket_num
pk1_charge_score,pocket_num
pk1_proportion_of_polar_atoms,pocket_num
pk1_alpha_sphere_density,pocket_num
pk1_cent_of_mass_alpha_sphere_max_dist,pocket_num
pk1_flexibility,pocket_num
pk2_score,pocket_num
pk2_druggability_score,pocket_num
pk2_number_of_alpha_spheres,pocket_num
pk2_total_sasa,pocket_num
pk2_polar_sasa,pocket_num
pk2_apolar_sasa,pocket_num
pk2_volume,pocket_num
pk2_mean_local_hydrophobic_density,pocket_num
pk2_mean_alpha_sphere_radius,pocket_num
pk2_mean_alp_sph_solvent_access,pocket_num
pk2_apolar_alpha_sphere_proportion,pocket_num
pk2_hydrophobicity_score,pocket_num
pk2_volume_score,pocket_num
pk2_polarity_score,pocket_num
pk2_charge_score,pocket_num
pk2_proportion_of_polar_atoms,pocket_num
pk2_alpha_sphere_density,pocket_num
pk2_cent_of_mass_alpha_sphere_max_dist,pocket_num
pk2_flexibility,pocket_num
pk3_score,pocket_num
pk3_druggability_score,pocket_num
pk3_number_of_alpha_spheres,pocket_num
pk3_total_sasa,pocket_num
pk3_polar_sasa,pocket_num
pk3_apolar_sasa,pocket_num
pk3_volume,pocket_num
pk3_mean_local_hydrophobic_density,pocket_num
pk3_mean_alpha_sphere_radius,pocket_num
pk3_mean_alp_sph_solvent_access,pocket_num
pk3_apolar_alpha_sphere_proportion,pocket_num
pk3_hydrophobicity_score,pocket_num
pk3_volume_score,pocket_num
pk3_polarity_score,pocket_num
pk3_charge_score,pocket_num
pk3_proportion_of_polar_atoms,pocket_num
pk3_alpha_sphere_density,pocket_num
pk3_cent_of_mass_alpha_sphere_max_dist,pocket_num
pk3_flexibility,pocket_num
n_pockets,pocket_agg
best_score,pocket_agg
best_volume,pocket_agg
mean_score,pocket_agg
pk1_aa_A_frac,pocket_aa
pk1_aa_C_frac,pocket_aa
pk1_aa_D_frac,pocket_aa
pk1_aa_E_frac,pocket_aa
pk1_aa_F_frac,pocket_aa
pk1_aa_G_frac,pocket_aa
pk1_aa_H_frac,pocket_aa
pk1_aa_I_frac,pocket_aa
pk1_aa_K_frac,pocket_aa
pk1_aa_L_frac,pocket_aa
pk1_aa_M_frac,pocket_aa
pk1_aa_N_frac,pocket_aa
pk1_aa_P_frac,pocket_aa
pk1_aa_Q_frac,pocket_aa
pk1_aa_R_frac,pocket_aa
pk1_aa_S_frac,pocket_aa
pk1_aa_T_frac,pocket_aa
pk1_aa_V_frac,pocket_aa
pk1_aa_W_frac,pocket_aa
pk1_aa_Y_frac,pocket_aa
