column,group
aa_A,aa
aa_C,aa
aa_D,aa
aa_E,aa
aa_F,aa
aa_G,aa
aa_H,aa
aa_I,aa
aa_K,aa
aa_L,aa
aa_M,aa
aa_N,aa
aa_P,aa
aa_Q,aa
aa_R,aa
aa_S,aa
aa_T,aa
aa_V,aa
aa_W,aa
aa_Y,aa
dipep_AA,dipep
dipep_AC,dipep
dipep_AD,dipep
dipep_AE,dipep
dipep_AF,dipep
dipep_AG,dipep
dipep_AH,dipep
dipep_AI,dipep
dipep_AK,dipep
dipep_AL,dipep
dipep_AM,dipep
dipep_AN,dipep
dipep_AP,dipep
dipep_AQ,dipep
dipep_AR,dipep
dipep_AS,dipep
dipep_AT,dipep
dipep_AV,dipep
dipep_AW,dipep
dipep_AY,dipep
dipep_CA,dipep
dipep_CC,dipep
dipep_CD,dipep
dipep_CE,dipep
dipep_CF,dipep
dipep_CG,dipep
dipep_CH,dipep
dipep_CI,dipep
dipep_CK,dipep
dipep_CL,dipep
dipep_CM,dipep
dipep_CN,dipep
dipep_CP,dipep
dipep_CQ,dipep
dipep_CR,dipep
dipep_CS,dipep
dipep_CT,dipep
dipep_CV,dipep
dipep_CW,dipep
dipep_CY,dipep
dipep_DA,dipep
dipep_DC,dipep
dipep_DD,dipep
dipep_DE,dipep
dipep_DF,dipep
dipep_DG,dipep
dipep_DH,dipep
dipep_DI,dipep
dipep_DK,dipep
dipep_DL,dipep
dipep_DM,dipep
dipep_DN,dipep
dipep_DP,dipep
dipep_DQ,dipep
dipep_DR,dipep
dipep_DS,dipep
dipep_DT,dipep
dipep_DV,dipep
dipep_DW,dipep
dipep_DY,dipep
dipep_EA,dipep
dipep_EC,dipep
dipep_ED,dipep
dipep_EE,dipep
dipep_EF,dipep
dipep_EG,dipep
dipep_EH,dipep
dipep_EI,dipep
dipep_EK,dipep
dipep_EL,dipep
dipep_EM,dipep
dipep_EN,dipep
dipep_EP,dipep
dipep_EQ,dipep
dipep_ER,dipep
dipep_ES,dipep
dipep_ET,dipep
dipep_EV,dipep
dipep_EW,dipep
dipep_EY,dipep
dipep_FA,dipep
dipep_FC,dipep
dipep_FD,dipep
dipep_FE,dipep
dipep_FF,dipep
dipep_FG,dipep
dipep_FH,dipep
dipep_FI,dipep
dipep_FK,dipep
dipep_FL,dipep
dipep_FM,dipep
dipep_FN,dipep
dipep_FP,dipep
dipep_FQ,dipep
dipep_FR,dipep
dipep_FS,dipep
dipep_FT,dipep
dipep_FV,dipep
dipep_FW,dipep
dipep_FY,dipep
dipep_GA,dipep
dipep_GC,dipep
dipep_GD,dipep
dipep_GE,dipep
dipep_GF,dipep
dipep_GG,dipep
dipep_GH,dipep
dipep_GI,dipep
dipep_GK,dipep
dipep_GL,dipep
dipep_GM,dipep
dipep_GN,dipep
dipep_GP,dipep
dipep_GQ,dipep
dipep_GR,dipep
dipep_GS,dipep
dipep_GT,dipep
dipep_GV,dipep
dipep_GW,dipep
dipep_GY,dipep
dipep_HA,dipep
dipep_HC,dipep
dipep_HD,dipep
dipep_HE,dipep
dipep_HF,dipep
dipep_HG,dipep
dipep_HH,dipep
dipep_HI,dipep
dipep_HK,dipep
dipep_HL,dipep
dipep_HM,dipep
dipep_HN,dipep
dipep_HP,dipep
dipep_HQ,dipep
dipep_HR,dipep
dipep_HS,dipep
dipep_HT,dipep
dipep_HV,dipep
dipep_HW,dipep
dipep_HY,dipep
dipep_IA,dipep
dipep_IC,dipep
dipep_ID,dipep
dipep_IE,dipep
dipep_IF,dipep
dipep_IG,dipep
dipep_IH,dipep
dipep_II,dipep
dipep_IK,dipep
dipep_IL,dipep
dipep_IM,dipep
dipep_IN,dipep
dipep_IP,dipep
dipep_IQ,dipep
dipep_IR,dipep
dipep_IS,dipep
dipep_IT,dipep
dipep_IV,dipep
dipep_IW,dipep
dipep_IY,dipep
dipep_KA,dipep
dipep_KC,dipep
dipep_KD,dipep
dipep_KE,dipep
dipep_KF,dipep
dipep_KG,dipep
dipep_KH,dipep
dipep_KI,dipep
dipep_KK,dipep
dipep_KL,dipep
dipep_KM,dipep
dipep_KN,dipep
dipep_KP,dipep
dipep_KQ,dipep
dipep_KR,dipep
dipep_KS,dipep
dipep_KT,dipep
dipep_KV,dipep
dipep_KW,dipep
dipep_KY,dipep
dipep_LA,dipep
dipep_LC,dipep
dipep_LD,dipep
dipep_LE,dipep
dipep_LF,dipep
dipep_LG,dipep
dipep_LH,dipep
dipep_LI,dipep
dipep_LK,dipep
dipep_LL,dipep
dipep_LM,dipep
dipep_LN,dipep
dipep_LP,dipep
dipep_LQ,dipep
dipep_LR,dipep
dipep_LS,dipep
dipep_LT,dipep
dipep_LV,dipep
dipep_LW,dipep
dipep_LY,dipep
dipep_MA,dipep
dipep_MC,dipep
dipep_MD,dipep
dipep_ME,dipep
dipep_MF,dipep
dipep_MG,dipep
dipep_MH,dipep
dipep_MI,dipep
dipep_MK,dipep
dipep_ML,dipep
dipep_MM,dipep
dipep_MN,dipep
dipep_MP,dipep
dipep_MQ,dipep
dipep_MR,dipep
dipep_MS,dipep
dipep_MT,dipep
dipep_MV,dipep
dipep_MW,dipep
dipep_MY,dipep
dipep_NA,dipep
dipep_NC,dipep
dipep_ND,dipep
dipep_NE,dipep
dipep_NF,dipep
dipep_NG,dipep
dipep_NH,dipep
dipep_NI,dipep
dipep_NK,dipep
dipep_NL,dipep
dipep_NM,dipep
dipep_NN,dipep
dipep_NP,dipep
dipep_NQ,dipep
dipep_NR,dipep
dipep_NS,dipep
dipep_NT,dipep
dipep_NV,dipep
dipep_NW,dipep
dipep_NY,dipep
dipep_PA,dipep
dipep_PC,dipep
dipep_PD,dipep
dipep_PE,dipep
dipep_PF,dipep
dipep_PG,dipep
dipep_PH,dipep
dipep_PI,dipep
dipep_PK,dipep
dipep_PL,dipep
dipep_PM,dipep
dipep_PN,dipep
dipep_PP,dipep
dipep_PQ,dipep
dipep_PR,dipep
dipep_PS,dipep
dipep_PT,dipep
dipep_PV,dipep
dipep_PW,dipep
dipep_PY,dipep
dipep_QA,dipep
dipep_QC,dipep
dipep_QD,dipep
dipep_QE,dipep
dipep_QF,dipep
dipep_QG,dipep
dipep_QH,dipep
dipep_QI,dipep
dipep_QK,dipep
dipep_QL,dipep
dipep_QM,dipep
dipep_QN,dipep
dipep_QP,dipep
dipep_QQ,dipep
dipep_QR,dipep
dipep_QS,dipep
dipep_QT,dipep
dipep_QV,dipep
dipep_QW,dipep
dipep_QY,dipep
dipep_RA,dipep
dipep_RC,dipep
dipep_RD,dipep
dipep_RE,dipep
dipep_RF,dipep
dipep_RG,dipep
dipep_RH,dipep
dipep_RI,dipep
dipep_RK,dipep
dipep_RL,dipep
dipep_RM,dipep
dipep_RN,dipep
dipep_RP,dipep
dipep_RQ,dipep
dipep_RR,dipep
dipep_RS,dipep
dipep_RT,dipep
dipep_RV,dipep
dipep_RW,dipep
dipep_RY,dipep
dipep_SA,dipep
dipep_SC,dipep
dipep_SD,dipep
dipep_SE,dipep
dipep_SF,dipep
dipep_SG,dipep
dipep_SH,dipep
dipep_SI,dipep
dipep_SK,dipep
dipep_SL,dipep
dipep_SM,dipep
dipep_SN,dipep
dipep_SP,dipep
dipep_SQ,dipep
dipep_SR,dipep
dipep_SS,dipep
dipep_ST,dipep
dipep_SV,dipep
dipep_SW,dipep
dipep_SY,dipep
dipep_TA,dipep
dipep_TC,dipep
dipep_TD,dipep
dipep_TE,dipep
dipep_TF,dipep
dipep_TG,dipep
dipep_TH,dipep
dipep_TI,dipep
dipep_TK,dipep
dipep_TL,dipep
dipep_TM,dipep
dipep_TN,dipep
dipep_TP,dipep
dipep_TQ,dipep
dipep_TR,dipep
dipep_TS,dipep
dipep_TT,dipep
dipep_TV,dipep
dipep_TW,dipep
dipep_TY,dipep
dipep_VA,dipep
dipep_VC,dipep
dipep_VD,dipep
dipep_VE,dipep
dipep_VF,dipep
dipep_VG,dipep
dipep_VH,dipep
dipep_VI,dipep
dipep_VK,dipep
dipep_VL,dipep
dipep_VM,dipep
dipep_VN,dipep
dipep_VP,dipep
dipep_VQ,dipep
dipep_VR,dipep
dipep_VS,dipep
dipep_VT,dipep
dipep_VV,dipep
dipep_VW,dipep
dipep_VY,dipep
dipep_WA,dipep
dipep_WC,dipep
dipep_WD,dipep
dipep_WE,dipep
dipep_WF,dipep
dipep_WG,dipep
dipep_WH,dipep
dipep_WI,dipep
dipep_WK,dipep
dipep_WL,dipep
dipep_WM,dipep
dipep_WN,dipep
dipep_WP,dipep
dipep_WQ,dipep
dipep_WR,dipep
dipep_WS,dipep
dipep_WT,dipep
dipep_WV,dipep
dipep_WW,dipep
dipep_WY,dipep
dipep_YA,dipep
dipep_YC,dipep
dipep_YD,dipep
dipep_YE,dipep
dipep_YF,dipep
dipep_YG,dipep
dipep_YH,dipep
dipep_YI,dipep
dipep_YK,dipep
dipep_YL,dipep
dipep_YM,dipep
dipep_YN,dipep
dipep_YP,dipep
dipep_YQ,dipep
dipep_YR,dipep
dipep_YS,dipep
dipep_YT,dipep
dipep_YV,dipep
dipep_YW,dipep
dipep_YY,dipep
seq_log_len,physico
seq_mean_kd,physico
seq_std_kd,physico
seq_arom_frac,physico
