method,weighted_f1
FS(prob>=0.3) > MAJ(4 LMs),0.73046875
FS(prob>=0.5) > MAJ(4 LMs),0.73046875
FS(prob>=0.7) > MAJ(4 LMs),0.72265625
FS(prob>=0.9) > MAJ(4 LMs),0.7213541666666666
FS(prob>=0.5) > esm2_t36_3B,0.7200520833333333
FS(prob>=0.3) > esm2_t36_3B,0.7200520833333333
FS(prob>=0.5) > esm2_t30_150M,0.7174479166666667
FS(prob>=0.3) > esm2_t30_150M,0.7174479166666667
FS(prob>=0.9) > esm2_t36_3B,0.7135416666666667
FS(prob>=0.7) > esm2_t36_3B,0.7122395833333333
FS(prob>=0.7) > esm2_t30_150M,0.7109375
FS(prob>=0.3) > prostT5_aa,0.7023437499999999
FS(prob>=0.5) > prostT5_aa,0.7023437499999999
FS(prob>=0.9) > esm2_t30_150M,0.7018229166666666
FS(prob>=0.9) > prostT5_aa,0.6958333333333333
FS(prob>=0.7) > prostT5_aa,0.6945312499999999
FS(prob>=0.3) > esm2_t12_35M,0.6888020833333333
FS(prob>=0.5) > esm2_t12_35M,0.6888020833333333
FS(prob>=0.7) > esm2_t12_35M,0.6744791666666666
FS(prob>=0.9) > esm2_t12_35M,0.6653645833333333
Foldseek top-1 alone,0.6627604166666667
esm2_t36_3B alone (LR),0.5924479166666666
prostT5_aa alone (LR),0.5484374999999999
esm2_t12_35M alone (LR),0.4276041666666666
esm2_t30_150M alone (LR),0.4028645833333333
