method,weighted_f1
FS(prob>=0.3) > ESM2-3B,0.2630833333333333
FS(prob>=0.5) > ESM2-3B,0.26391666666666663
FS(prob>=0.7) > ESM2-3B,0.2643333333333333
FS(prob>=0.9) > ESM2-3B,0.26458333333333334
FS(prob>=0.3) > ProstT5,0.25299999999999995
FS(prob>=0.5) > ProstT5,0.25425000000000003
FS(prob>=0.7) > ProstT5,0.24775
FS(prob>=0.9) > ProstT5,0.24716666666666665
FS(prob>=0.3) > ESM2-150M,0.252
FS(prob>=0.5) > ESM2-150M,0.24833333333333332
FS(prob>=0.7) > ESM2-150M,0.2468333333333333
FS(prob>=0.9) > ESM2-150M,0.24708333333333332
FS(prob>=0.3) > NT-v1-2.5B,0.23704761904761903
FS(prob>=0.5) > NT-v1-2.5B,0.23445833333333332
FS(prob>=0.7) > NT-v1-2.5B,0.2265416666666667
FS(prob>=0.9) > NT-v1-2.5B,0.22629166666666667
FS(prob>=0.3) > MAJ(AA-3),0.2653333333333333
FS(prob>=0.5) > MAJ(AA-3),0.26616666666666666
FS(prob>=0.7) > MAJ(AA-3),0.26658333333333334
FS(prob>=0.9) > MAJ(AA-3),0.2668333333333333
FS(prob>=0.3) > MAJ(AA+NT-4),0.2630833333333333
FS(prob>=0.5) > MAJ(AA+NT-4),0.2643333333333333
FS(prob>=0.7) > MAJ(AA+NT-4),0.26391666666666663
FS(prob>=0.9) > MAJ(AA+NT-4),0.26416666666666666
NT primary > FS > MAJ(AA-3),0.022416666666666668
"FS+NT vote, AA tie-break",0.2353333333333333
