feature_group,model,weighted_f1,tag
ALL,SVM-rbf-C1,0.018925831202046033,structural
ALL,RandomForest-100,0.03725490196078431,structural
ALL,LogReg-C1,0.02898550724637681,structural
ALL,kNN-1,0.021653878942881497,structural
ALL,kNN-3,0.01723298014858117,structural
ALL,kNN-5,0.008701741566191693,structural
aa,SVM-rbf-C1,0.009548167092924125,structural
aa,RandomForest-100,0.002983802216538789,structural
aa,LogReg-C1,0.017476555839727195,structural
aa,kNN-1,0.01010839118255998,structural
aa,kNN-3,0.011849957374254047,structural
aa,kNN-5,0.008312020460358057,structural
aa_ss,SVM-rbf-C1,0.021312872975277068,structural
aa_ss,RandomForest-100,0.02093533065400073,structural
aa_ss,LogReg-C1,0.015345268542199489,structural
aa_ss,kNN-1,0.02013692919364651,structural
aa_ss,kNN-3,0.018698677226851472,structural
aa_ss,kNN-5,0.011919349803728297,structural
contact,SVM-rbf-C1,0.04400194860552916,structural
contact,RandomForest-100,0.047058823529411764,structural
contact,LogReg-C1,0.04066496163682864,structural
contact,kNN-1,0.03887468030690537,structural
contact,kNN-3,0.035038363171355495,structural
contact,kNN-5,0.039428815004262575,structural
geom,SVM-rbf-C1,0.011082693947144074,structural
geom,RandomForest-100,0.019778346121057118,structural
geom,LogReg-C1,0.00917062477164779,structural
geom,kNN-1,0.021739130434782608,structural
geom,kNN-3,0.017476555839727195,structural
geom,kNN-5,0.018755328218243817,structural
ss,SVM-rbf-C1,0.008236605679060921,structural
ss,RandomForest-100,0.022762148337595906,structural
ss,LogReg-C1,0.007550846425526733,structural
ss,kNN-1,0.012531969309462914,structural
ss,kNN-3,0.015515771526001705,structural
ss,kNN-5,0.011082693947144074,structural
ALL_minus_aa,SVM-rbf-C1,0.028047740835464623,structural
ALL_minus_aa,RandomForest-100,0.04379084967320261,structural
ALL_minus_aa,LogReg-C1,0.030568749238825965,structural
ALL_minus_aa,kNN-1,0.021909633418584824,structural
ALL_minus_aa,kNN-3,0.026732432103276093,structural
ALL_minus_aa,kNN-5,0.015046888320545609,structural
ALL_minus_aa_ss,SVM-rbf-C1,0.02276214833759591,structural
ALL_minus_aa_ss,RandomForest-100,0.05967604433077578,structural
ALL_minus_aa_ss,LogReg-C1,0.02318840579710145,structural
ALL_minus_aa_ss,kNN-1,0.01735476799415418,structural
ALL_minus_aa_ss,kNN-3,0.015089514066496165,structural
ALL_minus_aa_ss,kNN-5,0.014123330491616936,structural
ALL_minus_contact,SVM-rbf-C1,0.020679576178297406,structural
ALL_minus_contact,RandomForest-100,0.025234441602728048,structural
ALL_minus_contact,LogReg-C1,0.02391913287053952,structural
ALL_minus_contact,kNN-1,0.023017902813299233,structural
ALL_minus_contact,kNN-3,0.009255876263548896,structural
ALL_minus_contact,kNN-5,0.01651037226484797,structural
ALL_minus_geom,SVM-rbf-C1,0.025745950554134697,structural
ALL_minus_geom,RandomForest-100,0.04578005115089514,structural
ALL_minus_geom,LogReg-C1,0.029204725368408235,structural
ALL_minus_geom,kNN-1,0.022789550602849835,structural
ALL_minus_geom,kNN-3,0.01655358730682549,structural
ALL_minus_geom,kNN-5,0.01325273192280865,structural
ALL_minus_ss,SVM-rbf-C1,0.021909633418584824,structural
ALL_minus_ss,RandomForest-100,0.02421142369991475,structural
ALL_minus_ss,LogReg-C1,0.027024722932651322,structural
ALL_minus_ss,kNN-1,0.021653878942881497,structural
ALL_minus_ss,kNN-3,0.01641091219096334,structural
ALL_minus_ss,kNN-5,0.009255876263548898,structural
