tag,weighted_f1,n_foldseek,n_fallback,n_none,k,weight,min_prob,fallback
fs_k3_lddt_p0.3,0.23616666666666664,331,0,69,3,lddt,0.3,none
fs_k3_alntmscore_p0.3,0.23304166666666667,331,0,69,3,alntmscore,0.3,none
fs_k3_lddt_p0.5,0.2328333333333333,322,0,78,3,lddt,0.5,none
fs_k5_bits_p0.3,0.23220833333333332,331,0,69,5,bits,0.3,none
fs_k5_bits_p0.0_+rf,0.23179166666666667,391,0,9,5,bits,0.0,rf
fs_k5_bits_p0.0,0.23179166666666667,391,0,9,5,bits,0.0,none
fs_k1_lddt_p0.3,0.23162500000000003,331,0,69,1,lddt,0.3,none
fs_k1_uniform_p0.3,0.23162500000000003,331,0,69,1,uniform,0.3,none
fs_k1_bits_p0.3,0.23162500000000003,331,0,69,1,bits,0.3,none
fs_k1_alntmscore_p0.3,0.23162500000000003,331,0,69,1,alntmscore,0.3,none
fs_k1_prob_p0.3,0.23162500000000003,331,0,69,1,prob,0.3,none
fs_k3_bits_p0.3,0.23095833333333332,331,0,69,3,bits,0.3,none
fs_k3_alntmscore_p0.5,0.23054166666666667,322,0,78,3,alntmscore,0.5,none
fs_k3_bits_p0.0,0.230125,391,0,9,3,bits,0.0,none
fs_k3_bits_p0.0_+rf,0.230125,391,0,9,3,bits,0.0,rf
fs_k3_prob_p0.3,0.230125,331,0,69,3,prob,0.3,none
fs_k3_uniform_p0.3,0.230125,331,0,69,3,uniform,0.3,none
fs_k5_bits_p0.5,0.22970833333333332,322,0,78,5,bits,0.5,none
fs_k3_prob_p0.0,0.22929166666666667,391,0,9,3,prob,0.0,none
fs_k3_uniform_p0.0,0.22929166666666667,391,0,9,3,uniform,0.0,none
fs_k1_uniform_p0.5,0.22912499999999997,322,0,78,1,uniform,0.5,none
fs_k1_lddt_p0.5,0.22912499999999997,322,0,78,1,lddt,0.5,none
fs_k1_prob_p0.5,0.22912499999999997,322,0,78,1,prob,0.5,none
fs_k1_bits_p0.5,0.22912499999999997,322,0,78,1,bits,0.5,none
fs_k1_alntmscore_p0.5,0.22912499999999997,322,0,78,1,alntmscore,0.5,none
fs_k3_lddt_p0.7,0.22866666666666668,316,0,84,3,lddt,0.7,none
fs_k3_alntmscore_p0.0,0.22845833333333332,391,0,9,3,alntmscore,0.0,none
fs_k3_alntmscore_p0.0_+rf,0.22845833333333332,391,0,9,3,alntmscore,0.0,rf
fs_k3_bits_p0.5,0.22845833333333332,322,0,78,3,bits,0.5,none
fs_k1_lddt_p0.0,0.22829166666666667,391,0,9,1,lddt,0.0,none
fs_k1_alntmscore_p0.0_+rf,0.22829166666666667,391,0,9,1,alntmscore,0.0,rf
fs_k1_bits_p0.0,0.22829166666666667,391,0,9,1,bits,0.0,none
fs_k1_bits_p0.0_+rf,0.22829166666666667,391,0,9,1,bits,0.0,rf
fs_k1_prob_p0.0,0.22829166666666667,391,0,9,1,prob,0.0,none
fs_k1_alntmscore_p0.0,0.22829166666666667,391,0,9,1,alntmscore,0.0,none
fs_k1_uniform_p0.0,0.22829166666666667,391,0,9,1,uniform,0.0,none
fs_k3_uniform_p0.5,0.227625,322,0,78,3,uniform,0.5,none
fs_k3_prob_p0.5,0.227625,322,0,78,3,prob,0.5,none
fs_k5_alntmscore_p0.3,0.2275,331,0,69,5,alntmscore,0.3,none
fs_k3_alntmscore_p0.3_+rf,0.22720833333333332,331,60,9,3,alntmscore,0.3,rf
fs_k5_bits_p0.3_+rf,0.22720833333333332,331,60,9,5,bits,0.3,rf
fs_k3_lddt_p0.0,0.22716666666666666,391,0,9,3,lddt,0.0,none
fs_k3_alntmscore_p0.7,0.226375,316,0,84,3,alntmscore,0.7,none
fs_k5_bits_p0.7,0.22554166666666667,316,0,84,5,bits,0.7,none
fs_k5_prob_p0.0,0.22524999999999998,391,0,9,5,prob,0.0,none
fs_k1_bits_p0.3_+rf,0.225125,331,60,9,1,bits,0.3,rf
fs_k1_alntmscore_p0.3_+rf,0.225125,331,60,9,1,alntmscore,0.3,rf
fs_k3_bits_p0.3_+rf,0.22512499999999996,331,60,9,3,bits,0.3,rf
fs_k5_lddt_p0.3,0.225,331,0,69,5,lddt,0.3,none
fs_k5_alntmscore_p0.5,0.225,322,0,78,5,alntmscore,0.5,none
fs_k1_prob_p0.7,0.22454166666666667,316,0,84,1,prob,0.7,none
fs_k1_alntmscore_p0.7,0.22454166666666667,316,0,84,1,alntmscore,0.7,none
fs_k1_bits_p0.7,0.22454166666666667,316,0,84,1,bits,0.7,none
fs_k1_lddt_p0.7,0.22454166666666667,316,0,84,1,lddt,0.7,none
fs_k1_uniform_p0.7,0.22454166666666667,316,0,84,1,uniform,0.7,none
fs_k3_bits_p0.7,0.22429166666666664,316,0,84,3,bits,0.7,none
fs_k3_prob_p0.7,0.22345833333333331,316,0,84,3,prob,0.7,none
fs_k3_uniform_p0.7,0.22345833333333331,316,0,84,3,uniform,0.7,none
fs_k5_bits_p0.5_+rf,0.223375,322,69,9,5,bits,0.5,rf
fs_k5_prob_p0.3,0.22316666666666662,331,0,69,5,prob,0.3,none
fs_k5_uniform_p0.3,0.22299999999999998,331,0,69,5,uniform,0.3,none
fs_k3_alntmscore_p0.5_+rf,0.22254166666666667,322,69,9,3,alntmscore,0.5,rf
fs_k5_alntmscore_p0.3_+rf,0.22249999999999998,331,60,9,5,alntmscore,0.3,rf
fs_k5_lddt_p0.5,0.22166666666666665,322,0,78,5,lddt,0.5,none
