k,min_members,min_enrichment,n_classes_with_motifs,n_predicted,weighted_f1
4,3,10.0,387,391,0.0725287256603046
5,3,10.0,387,391,0.07206060606060605
4,4,10.0,347,391,0.060672619047619045
6,3,10.0,383,391,0.055791666666666656
5,3,5.0,393,391,0.05487745098039215
5,4,5.0,362,391,0.048499999999999995
5,4,10.0,339,391,0.04843650793650793
4,3,5.0,395,391,0.04788461538461539
6,3,5.0,390,391,0.03995833333333333
4,4,5.0,368,391,0.037625
6,4,10.0,326,390,0.03615950715950716
6,3,2.0,398,391,0.03443699186991869
7,3,10.0,380,388,0.03239652014652014
7,3,2.0,395,389,0.03232351380042463
6,4,5.0,350,391,0.03149329836829837
7,3,5.0,389,389,0.02999051667756704
8,3,5.0,368,387,0.029400000000000003
8,3,10.0,358,387,0.029036181139122316
8,3,2.0,379,387,0.028792394249586028
6,4,2.0,372,391,0.028523584905660378
5,4,2.0,385,391,0.027517667844522965
5,3,2.0,398,391,0.026563852813852814
5,5,2.0,324,391,0.025961423444976078
4,5,5.0,292,391,0.025304824561403504
4,3,2.0,398,391,0.025293209876543214
4,5,10.0,262,391,0.024557720057720056
4,5,2.0,357,391,0.022273696682464452
5,5,5.0,271,391,0.0208015873015873
5,5,10.0,239,391,0.02018560606060606
4,4,2.0,391,391,0.02001628664495114
7,4,5.0,313,386,0.01974982842360891
8,4,10.0,260,379,0.01955252408881441
7,4,10.0,287,385,0.01951388888888889
6,5,2.0,269,389,0.018338319088319087
7,4,2.0,330,386,0.017283923806279453
6,5,5.0,232,389,0.015600378787878786
8,4,2.0,294,381,0.013936507936507938
8,4,5.0,277,381,0.012708909370199693
6,5,10.0,211,386,0.012239177489177489
7,5,2.0,204,382,0.009870726495726496
7,5,5.0,184,381,0.009589680589680589
8,5,10.0,122,349,0.00851023486317604
8,5,5.0,132,363,0.008360347985347984
8,5,2.0,146,364,0.00818043068043068
7,5,10.0,170,370,0.006604761904761904
