Entry,split,status,path
Q89AV2,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q89AV2.pdb
P77985,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P77985.pdb
P78617,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P78617.pdb
P08746,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P08746.pdb
O32143,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O32143.pdb
Q56002,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q56002.pdb
Q4J8L6,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q4J8L6.pdb
P08793,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P08793.pdb
P61887,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P61887.pdb
D4B5H9,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\D4B5H9.pdb
Q9UX83,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9UX83.pdb
Q54FB7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q54FB7.pdb
P55464,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P55464.pdb
Q9Y7S6,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9Y7S6.pdb
Q8ZWP7,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q8ZWP7.pdb
O32145,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O32145.pdb
Q9RR29,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q9RR29.pdb
O94570,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\O94570.pdb
A3CT21,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A3CT21.pdb
Q46800,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\Q46800.pdb
A6UQM3,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\A6UQM3.pdb
P95778,train,exists,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\P95778.pdb
