Entry,true_ec,ensemble_correct,foldseek_correct,esm2_3b_correct,fs_prob,has_fs_hit,protein_len,cds_len,gc_content,codon_entropy
Q9P7T7,2.7.7.1,False,False,False,1.0,True,249,750,0.37466666666666665,5.516620156282426
Q9M8R4,4.4.1.5,False,False,False,1.0,True,388,1167,0.46872322193658955,5.632609020824685
P21163,3.5.1.52,False,False,False,0.941,True,354,1065,0.38497652582159625,5.410079135985796
A0A150XSC5,2.7.7.65,False,False,False,1.0,True,376,1131,0.376657824933687,5.490323118457361
A8E7C5,3.1.3.25,False,False,False,1.0,True,1120,0,,
P79891,4.2.99.18,False,False,False,0.442,True,253,762,0.5249343832020997,5.535356157432058
A6UCB5,5.3.1.9,False,False,False,1.0,True,214,645,0.6139534883720931,5.313927635748714
Q13029,2.1.1.355,True,True,True,1.0,True,1718,5160,0.4746124031007752,5.655535888313029
Q74MB1,2.7.7.101,True,True,False,1.0,True,371,1116,0.3396057347670251,5.114220413035428
A8MI61,2.7.1.39,False,False,False,1.0,True,297,894,0.39373601789709173,5.536111618699151
O32462,2.4.1.25,False,False,False,1.0,True,659,1980,0.44242424242424244,5.4555395062853975
P46960,2.5.1.60,False,False,False,0.988,True,311,936,0.3942307692307692,5.494017607766817
O06769,3.5.1.23,False,False,False,0.961,True,637,1914,0.6520376175548589,5.447897651625878
A9BFZ7,2.7.4.3,False,False,False,1.0,True,215,648,0.3317901234567901,5.04634849836747
B5YBQ0,7.1.2.2,False,False,False,1.0,True,510,1533,0.37377690802348335,5.293898005215465
Q0JIL1,1.8.1.8,False,False,False,1.0,True,394,1185,0.6455696202531646,5.168462531280717
Q64627,3.2.1.18,True,True,False,1.0,True,379,201,0.5373134328358209,4.899835974227657
P9WKB3,2.3.1.20,False,False,False,0.971,True,491,1476,0.6619241192411924,5.347918997016255
A1A1J2,3.6.1.31,True,True,True,1.0,True,87,297,0.5387205387205387,5.002921609643766
P0DKC3,3.1.3.18,False,False,False,1.0,True,362,870,0.4264367816091954,5.50464360927325
P00383,1.5.1.3,False,False,False,0.872,True,78,237,0.5316455696202531,5.333291161086733
Q9LHN4,2.3.1.51,True,True,True,1.0,True,375,1128,0.41932624113475175,5.641511295724562
O29630,3.1.1.96,False,False,False,0.997,True,278,837,0.4910394265232975,5.373587263572462
Q4KXC9,2.4.1.122,False,False,False,1.0,True,254,765,0.31241830065359477,5.332622674679499
Q9SJ20,1.17.4.1,False,False,False,0.116,True,816,2451,0.43370053039575684,5.6839360751366685
Q97BG1,2.7.8.26,True,True,False,1.0,True,259,780,0.37435897435897436,5.374924995555535
O28786,4.1.1.31,True,True,False,1.0,True,471,1416,0.4788135593220339,5.45234014148797
O32147,1.17.1.4,False,False,False,1.0,True,330,993,0.48539778449144005,5.641540681553224
P13187,7.2.4.2,False,False,False,1.0,True,596,1791,0.6750418760469011,4.970493869527386
O60126,5.6.2.1,False,False,False,0.382,True,622,1869,0.39593365436062067,5.6470943449542235
P54456,3.6.1.41,False,False,False,0.179,True,186,561,0.4563279857397504,5.452184705395836
Q49744,3.1.26.11,True,True,True,1.0,True,220,636,0.5974842767295597,5.473051736353565
A8E534,1.14.11.27,True,True,False,1.0,True,406,1221,0.4725634725634726,5.639636575565677
B3PII1,2.7.7.4,False,False,False,1.0,True,472,1419,0.49119097956307256,5.580428349663779
B4SAK8,3.1.26.4,True,True,True,0.069,True,206,621,0.573268921095008,5.476664703641255
F4KIN4,1.1.1.169,False,False,False,1.0,True,365,1098,0.41894353369763204,5.559464576474168
Q5B467,2.1.1.85,False,False,False,1.0,True,558,1677,0.5599284436493739,5.670102388061163
Q93V61,3.1.1.32,False,False,False,0.692,True,447,1182,0.428087986463621,5.633795857064388
Q74HL7,1.5.1.36,False,False,False,1.0,True,178,537,0.3780260707635009,5.162088904986725
P43336,2.6.1.57,False,False,False,1.0,True,399,1200,0.6966666666666667,4.937364794243135
P35172,3.2.1.28,False,False,False,1.0,True,780,2343,0.39308578745198464,5.5873532188366175
Q9LNU1,3.4.14.10,False,False,False,1.0,True,769,2310,0.44935064935064933,5.594671205094476
P23256,4.4.1.13,False,False,False,1.0,True,390,1173,0.5098039215686274,5.618063945871442
P50386,5.3.1.24,True,True,True,1.0,True,204,615,0.31382113821138213,5.128129833974225
P29347,2.1.1.72,False,False,True,0.923,True,653,1962,0.2823649337410805,5.20115853733741
Q5E1G4,1.1.1.17,False,False,False,1.0,True,423,1272,0.38757861635220126,5.390133801171403
A0A5D0EMF2,3.2.2.5,False,False,False,0.995,True,317,954,0.27568134171907754,5.090658464069067
Q9UW18,5.1.1.1,False,False,False,1.0,True,389,1170,0.46923076923076923,5.680794649158964
P42175,1.7.5.1,False,False,False,0.956,True,1228,3687,0.49959316517493896,5.673568811905836
O54028,7.2.4.3,False,False,False,1.0,True,517,1539,0.40220922677063026,5.089925036120277
P56162,2.4.2.10,True,True,True,1.0,True,201,606,0.4273927392739274,5.310221951202665
Q9I1K1,3.4.16.4,False,False,True,1.0,True,565,1698,0.6719670200235571,4.940575756389235
P29785,2.7.7.24,False,False,False,1.0,True,259,780,0.7397435897435898,4.836784813783112
A0A120HUS7,2.3.1.30,False,False,False,1.0,True,271,816,0.46568627450980393,5.455764585371772
C8NA81,2.3.1.46,False,False,False,1.0,True,350,1053,0.6419753086419753,4.9422465095565835
Q87NA8,2.3.1.184,True,True,False,1.0,True,393,1182,0.43485617597292725,5.677991460065246
Q49611,1.2.7.12,False,False,False,1.0,True,79,240,0.5458333333333333,4.898594281206288
P56100,7.1.1.7,False,False,False,0.0,False,37,114,0.5175438596491229,4.682162149295792
Q39BA7,4.3.2.3,False,False,False,0.051,True,282,849,0.6749116607773852,4.907889914280688
O25046,3.5.4.4,False,False,False,1.0,True,409,1230,0.3967479674796748,5.261495454766787
Q47910,7.2.2.10,False,False,False,1.0,True,548,1710,0.36257309941520466,5.316254265796941
Q2JX67,2.4.2.9,False,False,True,1.0,True,184,555,0.6288288288288288,5.250110067758146
Q9XTQ5,3.1.3.12,True,True,True,1.0,True,439,1407,0.4541577825159915,5.647139158072625
P54495,2.7.1.2,True,True,False,1.0,True,321,966,0.4730848861283644,5.382496308558427
A1TC40,2.7.7.77,True,True,True,1.0,True,217,654,0.7048929663608563,5.0994960476208755
Q72TF8,2.5.1.145,True,True,True,1.0,True,318,957,0.36468129571577845,5.362082771948325
Q4WPF8,1.11.1.5,False,False,False,0.045,True,366,1101,0.5958219800181653,5.207038243119169
P0DJJ9,3.1.1.4,True,False,True,0.011,True,138,417,0.5107913669064749,5.119409670839566
A5CV36,5.3.3.2,False,False,False,0.045,True,194,585,0.7316239316239316,4.735484696037266
Q2VST0,3.2.1.14,False,False,True,1.0,True,330,993,0.44410876132930516,5.609752216881661
Q8TX49,3.6.1.15,False,False,False,0.941,True,180,543,0.5948434622467772,5.236716397083809
Q0WUY1,2.7.1.23,False,False,False,0.692,True,534,1443,0.44213444213444214,5.6368535938570625
O00939,2.7.7.49,True,True,False,1.0,True,1031,3096,0.3236434108527132,5.384318317078529
P80522,1.2.7.1,False,False,False,1.0,True,296,891,0.48484848484848486,5.492968311455881
P15916,2.1.1.57,True,True,False,0.995,True,308,927,0.3268608414239482,5.379240087927943
Q92400,3.2.1.91,False,False,False,1.0,True,506,1521,0.5391190006574622,5.342420329696292
F1ND48,5.6.2.4,False,False,False,1.0,True,1012,3039,0.4794340243501152,5.695080473608669
Q9TYU5,2.3.1.48,False,True,False,0.632,True,458,1377,0.4066811909949165,5.5522293831181
A0A0H3GEM5,3.1.2.28,False,False,False,1.0,True,123,372,0.3817204301075269,5.006880125629004
P40152,3.6.1.10,False,False,False,1.0,True,326,981,0.40468909276248727,5.622194337419931
P57884,2.3.1.31,False,False,False,1.0,True,360,1083,0.39519852262234534,5.356463438799571
Q680A6,3.1.4.46,True,True,True,1.0,True,370,846,0.3877068557919622,5.405355550516908
Q9VIT2,2.7.4.2,False,False,False,1.0,True,189,570,0.5824561403508772,5.350964645722009
Q8K9Q6,1.3.1.9,True,True,False,1.0,True,260,783,0.23627075351213284,4.842911936265815
Q0BST5,5.6.2.2,False,False,False,0.15,True,940,2823,0.6036131774707758,5.329556553028176
B8LV47,3.1.1.73,False,False,False,1.0,True,530,1593,0.5109855618330195,5.715567222848262
P50216,1.1.1.42,True,True,True,1.0,True,738,2217,0.5746504285069914,4.986220921877406
Q5JHT1,3.5.1.1,False,False,False,0.011,True,306,921,0.5570032573289903,5.150019524793448
Q0UTI9,3.4.11.18,True,True,True,1.0,True,435,1308,0.5726299694189603,5.379336916500279
C5PCN6,3.4.13.19,False,False,False,0.941,True,464,1395,0.48028673835125446,5.717241643445826
A1WR02,1.1.1.37,True,True,False,1.0,True,328,987,0.6585612968591692,4.9840252036355315
Q4U2R1,2.3.2.26,False,False,False,0.0,False,4836,14511,0.5071325201571222,5.7420045777934945
Q04299,3.1.3.84,True,True,True,1.0,True,284,855,0.3906432748538012,5.577036289848365
D4GTL2,2.3.3.9,True,True,True,1.0,True,433,1302,0.674347158218126,4.857371355072944
Q9JYJ3,6.3.2.3,True,True,False,0.949,True,319,960,0.5447916666666667,5.242788512145841
Q7SFB0,3.2.1.31,False,False,False,1.0,True,559,1680,0.5547619047619048,5.643083091872375
P21953,1.2.4.4,False,False,False,1.0,True,392,1179,0.4817642069550466,5.645126703903558
Q75ZQ4,3.5.1.5,False,False,False,0.034,True,128,387,0.627906976744186,5.1505984144632055
Q9SPL2,2.3.2.27,False,False,True,0.975,True,334,1005,0.481592039800995,5.492871549588593
Q626I0,2.7.7.2,False,False,False,1.0,True,523,1572,0.4713740458015267,5.664962176705554
Q9UTC5,2.7.1.48,False,False,False,1.0,True,235,708,0.4279661016949153,5.53375315004544
Q9YDC5,2.5.1.9,False,False,False,1.0,True,155,468,0.6410256410256411,4.905237693894459
B9E8Z6,3.1.26.5,False,False,False,0.254,True,115,348,0.3017241379310345,4.764077767902989
P21182,4.1.1.50,True,True,True,1.0,True,396,1191,0.4332493702770781,5.583082244582232
Q7V6D4,4.1.99.5,False,False,False,0.998,True,243,732,0.505464480874317,5.462913507831437
F4I594,3.2.2.6,False,False,False,1.0,True,997,3588,0.41109253065774803,5.699452685905602
P20051,3.5.2.3,True,True,False,1.0,True,364,1095,0.39817351598173517,5.550860460913148
A9HJ12,2.3.1.181,True,True,True,1.0,True,232,699,0.6838340486409156,5.013053669812383
P0AEJ6,4.3.1.7,False,False,False,1.0,True,453,1362,0.5565345080763583,5.3544075079362425
O27113,1.2.7.3,False,False,True,1.0,True,286,861,0.5017421602787456,5.437436604866207
Q8TVD2,6.1.1.11,True,True,False,1.0,True,527,1584,0.6212121212121212,5.164219312897316
Q7VGA7,4.2.1.20,False,False,False,1.0,True,420,1263,0.39667458432304037,5.287708080417323
G0SHF3,1.2.4.1,False,False,False,1.0,True,411,1236,0.5800970873786407,5.264657115679108
Q93LJ4,5.4.99.5,False,False,False,0.034,True,181,546,0.4706959706959707,5.51392069977983
Q06J47,1.97.1.12,False,False,False,0.999,True,93,282,0.32269503546099293,4.720979511237401
Q8SHP7,7.1.1.2,True,False,True,0.632,True,692,2079,0.26936026936026936,4.938687404888168
Q32L27,2.3.2.23,True,True,True,1.0,True,342,1029,0.446064139941691,5.614273370450766
Q8A7J9,3.1.3.64,False,False,False,0.082,True,159,480,0.47291666666666665,5.348348979361803
Q03SC5,6.1.1.14,False,False,False,1.0,True,691,2076,0.48554913294797686,5.465883700368537
O49432,3.2.1.15,False,False,False,1.0,True,481,1446,0.4681881051175657,5.6757147895466
A4YRD9,2.7.7.7,False,False,False,1.0,True,1170,3513,0.6541417591801879,5.1765133407799455
Q09669,1.1.1.1,False,False,False,1.0,True,422,1269,0.4247438928289992,5.372313238132425
P33486,3.2.1.17,False,False,False,0.0,False,202,609,0.535303776683087,5.582129275510186
Q95032,2.5.1.6,True,True,True,1.0,True,388,1167,0.6152527849185947,4.96096812196582
P14183,2.7.7.15,False,False,False,1.0,True,233,597,0.35845896147403683,5.413950587128884
P70699,3.2.1.20,False,False,False,1.0,True,953,2862,0.5912587412587412,5.6941763109521135
Q836Z5,3.2.2.27,True,False,True,0.051,True,226,681,0.4008810572687225,5.354384983450077
Q92080,2.4.2.31,True,True,False,1.0,True,300,401,0.6034912718204489,5.197682926230168
Q8R9C7,6.1.1.20,True,True,False,1.0,True,794,2385,0.41844863731656184,5.467910924420013
Q03262,5.4.2.7,False,False,False,1.0,True,622,1869,0.39058319957196364,5.582717858992639
Q7UFZ7,4.98.1.1,True,True,True,1.0,True,351,1056,0.5672348484848485,5.4949959828545305
O26949,2.5.1.3,False,False,False,0.024,True,190,573,0.5026178010471204,5.406786792504717
Q6Z9C3,3.1.1.31,False,False,False,1.0,True,327,984,0.5802845528455285,5.6014481035511885
P29378,4.2.1.84,False,False,False,0.016,True,207,624,0.6426282051282052,5.099027942396758
Q8IY17,3.1.1.5,False,False,False,1.0,True,1375,3984,0.6365461847389559,5.462114892391231
Q8EWQ8,3.1.1.29,False,False,False,0.981,True,187,564,0.2624113475177305,4.868867363083987
Q14689,6.2.1.1,False,False,False,1.0,True,1571,4704,0.5814200680272109,5.671854563857403
Q700S9,3.2.1.23,True,True,False,1.0,True,1011,3036,0.541501976284585,5.480146853168185
P56995,4.1.3.27,False,False,False,0.076,True,491,1476,0.5630081300813008,5.1727573570404495
Q9S827,1.3.5.1,False,False,False,0.941,True,281,846,0.6619385342789598,4.763952362494061
Q492N1,2.7.1.21,False,False,False,0.949,True,205,618,0.29449838187702265,5.0291308450985674
