Entry,split,status,path
P9WMK7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P9WMK7.pdb
A0AFT8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0AFT8.pdb
Q8U1L4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8U1L4.pdb
Q9LQC0,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9LQC0.pdb
P19666,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P19666.pdb
P34697,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P34697.pdb
Q6R7K3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6R7K3.pdb
O55716,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O55716.pdb
Q9CBQ2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9CBQ2.pdb
O31534,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O31534.pdb
P80734,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P80734.pdb
Q9KFH7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9KFH7.pdb
D0LZ73,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\D0LZ73.pdb
Q54RN1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q54RN1.pdb
P74133,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P74133.pdb
P22759,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P22759.pdb
F1SVL1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\F1SVL1.pdb
Q12284,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q12284.pdb
Q8PU61,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8PU61.pdb
Q54HS3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q54HS3.pdb
F1SVE4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\F1SVE4.pdb
F1SVE1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\F1SVE1.pdb
Q8JGM4,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8JGM4.pdb
P97443,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P97443.pdb
P41480,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P41480.pdb
Q6C4Y5,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6C4Y5.pdb
Q91FH7,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q91FH7.pdb
Q84WW6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q84WW6.pdb
Q75D88,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q75D88.pdb
Q55AX2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q55AX2.pdb
Q6AW06,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6AW06.pdb
Q8TEK3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8TEK3.pdb
Q67472,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q67472.pdb
B1Q3J6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\B1Q3J6.pdb
P25265,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P25265.pdb
Q58724,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q58724.pdb
P25201,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P25201.pdb
Q9KVZ8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9KVZ8.pdb
B0RTZ8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\B0RTZ8.pdb
Q9M548,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9M548.pdb
Q8PW90,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8PW90.pdb
O31504,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O31504.pdb
Q8TU04,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8TU04.pdb
P80187,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P80187.pdb
Q3SKJ2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q3SKJ2.pdb
A5W820,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A5W820.pdb
Q8TU05,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q8TU05.pdb
O32865,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O32865.pdb
Q97DB1,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q97DB1.pdb
P49158,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\P49158.pdb
A5WDG8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A5WDG8.pdb
B1VKF0,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\B1VKF0.pdb
Q6UX98,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q6UX98.pdb
A0QZ13,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\A0QZ13.pdb
Q59NR8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q59NR8.pdb
Q4I1J3,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q4I1J3.pdb
Q76IC6,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q76IC6.pdb
Q9WZ43,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9WZ43.pdb
Q9UKN8,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9UKN8.pdb
O24982,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\O24982.pdb
Q9SGH2,train,ok,C:\Users\Abhinav\OneDrive\Desktop\Convergent Enzyme Claasification\structures\ec_classification\Q9SGH2.pdb
