Entry,status,embl_xref,embl_protein_id
A6UQM3,ok,CP000742,ABR54795.1
A2SS82,ok,CP000559,ABN07188.1
A0B5N0,ok,CP000477,ABK14004.1
Q09751,ok,CU329671,CAA20759.1
Q9UXN8,ok,AJ011519,CAB56641.1
P16635,ok,D00342,BAA00248.1
O49818,ok,AJ224520,CAA12028.1
B0R328,ok,AM774415,CAP13138.1
Q55595,ok,BA000022,BAA10101.1
Q04760,ok,AF146651,AAD38008.1
Q02890,ok,U43281,AAB68203.1
O74739,ok,CU329671,CAA21253.1
Q6CAX5,ok,CR382129,CAG82507.1
Q5WNE3,ok,HE600996,CAP27943.3
P31129,ok,U00096,AAC74608.1
Q8ZNT5,ok,AE006468,AAL20897.1
A0A0H2Z7X0,ok,CP000438,ABJ10287.1
P0DUE2,no_embl_cds_xref,,
Q9TW67,ok,Z81552,CAB04487.2
P77302,ok,U00096,AAC74423.2
Q8K9P6,ok,AE013218,AAM67832.1
Q05533,ok,U51031,AAB64472.1
Q28CL4,ok,CR926321,CAJ82287.1
Q9WYK0,ok,AE000512,AAD35453.1
P0AB83,ok,J02857,AAA24227.1
P46813,ok,U15181,AAA62956.1
Q89AW4,ok,AE016826,AAO26848.1
P44333,efetch_failed,L42023,AAC22595.1
Q58030,ok,L77117,AAB98606.1
Q9PMD4,ok,AL111168,CAL35635.1
Q2S8W1,ok,CP000155,ABC32913.1
C4XST3,ok,AP010904,BAH75775.1
Q1QEK1,ok,CP000323,ABE73902.1
Q8RHH5,ok,AE009951,AAL94138.1
Q8X225,ok,AF419248,AAL35215.1
P73715,efetch_failed,BA000022,BAA17762.1
Q9EQQ0,ok,AF149204,AAF73152.1
A0A1L7TZE5,ok,FCQH01000012,CVL01483.1
Q9U263,ok,BX284604,CAB63382.3
Q6NRE8,ok,BC070805,AAH70805.1
Q9X1G3,ok,AE000512,AAD36520.1
Q9PM37,ok,AL111168,CAL35735.1
P50070,ok,U20669,AAB60207.1
O83505,ok,AE000520,AAC65479.1
P52308,ok,AE016830,AAO81310.1
Q0AHY7,ok,CP000450,ABI59045.1
A6U6V4,ok,CP000738,ABR59384.1
A4G1V8,ok,CU207211,CAL60495.2
Q59266,ok,L37874,AAB84229.1
P29364,ok,X65034,CAA46169.1
O84089,ok,AE001273,AAC67678.1
Q2RPU7,efetch_failed,CP000230,ABC23848.1
Q69Q02,ok,AP005452,BAD31425.1
P45176,ok,L42023,AAC23003.1
O94412,ok,CU329672,CAA22489.1
O87172,ok,AB016244,BAA33728.1
Q9FJ32,ok,AB016871,BAB10657.1
Q08602,ok,L10415,AAA41998.1
Q6DBD7,efetch_failed,AB010698,BAB11077.1
Q00618,ok,U14132,AAA21386.1
Q9VIP7,ok,AE014134,AAF53869.2
O45686,ok,Z83115,CAB05556.1
O45145,ok,FO081630,CCD72931.1
Q8PZ69,ok,AE008384,AAM30321.1
Q09551,ok,Z48582,CAA88464.1
Q55DQ4,efetch_failed,AAFI02000005,EAL72135.2
A6UW35,ok,CP000743,ABR56707.1
Q8ZWP7,ok,AE009441,AAL63653.1
Q9UX83,ok,AB006440,BAD95988.1
Q4J8L6,ok,CP000077,AAY80864.1
P14571,ok,X16593,CAA34604.1
A3CT21,ok,CP000562,ABN56521.1
P38462,ok,M68929,AAC09426.1
P08746,ok,X04764,CAA28458.1
A7MMC7,ok,CP000783,ABU75452.1
Q9JTL9,ok,AL157959,CAM08848.1
Q7MZX2,ok,BX571872,CAE16511.1
Q5HVG7,ok,CP000025,AAW35784.1
A6TH46,ok,CP000647,ABR79880.1
P25180,ok,M62733,AAA47451.1
P62019,efetch_failed,M57238,AAA72942.1
P12555,ok,M19432,AAA46638.1
P21526,ok,M34033,AAA46799.1
Q9SLD2,ok,AC003058,AAM14875.1
Q75BY0,ok,AE016816,AAS51366.1
P04850,ok,S76876,AAB21114.1
O74850,ok,CU329672,CAE54965.2
Q9ASU1,ok,AL133452,CAB63016.1
P25465,ok,D00865,BAA00739.1
A0AG13,ok,AM263198,CAK19945.1
Q3IU57,ok,CR936257,CAI48326.1
Q2SN16,ok,CP000155,ABC27958.1
Q5I396,ok,AC132493,AAU10815.1
P95931,ok,Y08256,CAA69435.1
B0UHR4,ok,CP000943,ACA21034.1
A4XPM3,ok,CP000680,ABP83289.1
Q9HLQ2,ok,AL445063,CAC11321.1
Q9YE03,ok,BA000002,BAA79744.1
P40852,ok,AM260480,CAJ96176.1
P11045,ok,M20012,AAA22853.1
Q5JDB7,ok,AP006878,BAD86490.1
Q89AV2,ok,AE016826,AAO26867.1
O62583,ok,AJ005644,CAA06647.1
Q9PR30,ok,AF222894,AAF30520.1
P17719,ok,AE014297,AAF55324.1
Q06508,ok,U40829,AAB68279.1
O22975,ok,AC002343,AAB63608.1
Q9US27,ok,CU329670,CAB66165.2
O15120,ok,CH471090,EAW88249.1
Q68EL2,ok,BC080214,AAH80214.1
B2V7S8,ok,CP001080,ACD66001.1
A6LTN7,ok,CP000721,ABR33717.1
Q59601,efetch_failed,U21806,AAB40877.1
A1T099,ok,CP000510,ABM05164.1
Q08BL3,ok,BC124666,AAI24667.1
B8DHM6,ok,CP001175,ACK39395.1
Q7SYI5,ok,BC054714,AAH54714.1
Q6GNL1,ok,BC073496,AAH73496.1
Q18515,ok,Z35641,CAA84707.2
P09938,ok,M17221,AAA34987.1
Q7K237,ok,AE014134,AAF52724.1
P28847,ok,AY665713,AAT67277.1
P42521,ok,L36941,AAB72227.2
P36603,ok,X65115,CAA46231.1
Q66662,ok,U20824,AAC13848.1
Q0A4T1,ok,CP000453,ABI58156.1
Q55714,ok,BA000022,BAA10355.1
A7IB66,ok,CP000781,ABS69481.1
A4XT57,ok,CP000680,ABP84523.1
Q9A871,ok,AE005673,AAK23472.1
A1SJN0,ok,CP000509,ABL82015.1
Q3IBX6,ok,CR954247,CAI89354.1
Q7MH68,ok,BA000037,BAC95768.1
Q46800,ok,U28375,AAA83048.1
A1SRH8,ok,CP000510,ABM02093.1
A7NLR3,ok,CP000804,ABU58459.1
Q54FB7,ok,AAFI02000174,EAL61954.1
P08793,efetch_failed,X07323,CAA30281.1
O32143,ok,AL009126,CAB15237.1
Q9KUH2,ok,AE003852,AAF93717.1
Q9KTU4,ok,AE003852,AAF93958.1
Q9RF98,ok,AF200362,AAF14627.1
Q65WL3,ok,AE016827,AAU36647.1
O32145,efetch_failed,AL009126,CAB15239.1
Q03032,ok,AE006468,AAL22222.1
Q54RC3,ok,AAFI02000051,EAL65841.1
Q9FJ79,ok,AB015479,BAB08548.1
O17966,ok,Z93385,CAB07639.1
P30189,ok,U80064,AAC24158.1
A8FRV0,ok,CP000821,ABV35573.1
Q00313,ok,U40454,AAC49381.1
B8F4P0,ok,CP001321,ACL32292.1
A1JJF2,ok,AM286415,CAL10740.1
Q88A48,ok,AE016853,AAO54091.1
P87168,ok,CU329671,CAB09123.1
Q89NF8,ok,BA000040,BAC49147.1
Q8TWK0,ok,AE009439,AAM02246.1
P36159,ok,Z28304,CAA82158.1
